French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
un cancer,рак (болезнь),Le <b>cancer</b> du poumon.,<b>Рак</b> лёгких.,🩺,m
un vampire,вампир,Un film de <b>vampires</b>.,Фильм про <b>вампиров</b>.,🧛,m
une flèche,стрела,La <b>flèche</b> a touché la cible.,<b>Стрела</b> попала в цель.,🏹,f
une vaisselle,посуда,Fais la <b>vaisselle</b>.,Помой <b>посуду</b>.,🍽️,f
une pose,поза,Prends la <b>pose</b>.,Прими <b>позу</b>.,📸,f
visible,видимый,C'est à peine <b>visible</b>.,Это едва <b>видимо</b>.,👁️,adj
un carrefour,перекрёсток,Au <b>carrefour</b>.,На <b>перекрёстке</b>.,🚦,m
un damoiseau,юноша (устар.),Le <b>damoiseau</b> courtise la dame.,<b>Юноша</b> ухаживает за дамой.,🤴,m
"élégant, élégante",элегантный,Une robe <b>élégante</b>.,<b>Элегантное</b> платье.,👗,adj
décembre,декабрь,"En <b>décembre</b>, c'est Noël.",В <b>декабре</b> — Рождество.,🎄,m
"un ingénieur, une ingénieure",инженер,Il est <b>ingénieur</b>.,Он <b>инженер</b>.,👷,m/f
un appui,опора,Prends <b>appui</b> sur le mur.,<b>Обопрись</b> о стену.,🤝,m
un serment,клятва,Je fais le <b>serment</b>.,Даю <b>клятву</b>.,🤚,m
romantique,романтический,Une soirée <b>romantique</b>.,<b>Романтический</b> вечер.,💕,adj
un régiment,полк,Le <b>régiment</b> marche.,<b>Полк</b> марширует.,🪖,m
quelconque,какой-нибудь; посредственный,Un prétexte <b>quelconque</b>.,Какой-нибудь <b>предлог</b>.,😐,adj
"ennuyeux, ennuyeuse",скучный,C'est <b>ennuyeux</b>.,Это <b>скучно</b>.,😴,adj
sévère,строгий,Un professeur <b>sévère</b>.,<b>Строгий</b> учитель.,😠,adj
un témoignage,показание; свидетельство,Un <b>témoignage</b> important.,Важное <b>показание</b>.,📝,m
un vendeur,продавец,Le <b>vendeur</b> m'a aidé.,<b>Продавец</b> мне помог.,🛒,m
hocher,кивать,<b>Hoche</b> la tête.,<b>Кивни</b> головой.,🙂,v
une construction,строительство,La <b>construction</b> avance.,<b>Строительство</b> продвигается.,🏗️,f
"définitif, définitive",окончательный,C'est <b>définitif</b>.,Это <b>окончательно</b>.,✅,adj
un commun,общее,Nous avons beaucoup en <b>commun</b>.,У нас много <b>общего</b>.,🤝,m
une indifférence,безразличие,Avec <b>indifférence</b>.,С <b>безразличием</b>.,😐,f
un temple,храм,Le <b>temple</b> ancien.,Древний <b>храм</b>.,🛕,m
un ministère,министерство,Le <b>ministère</b> de la Justice.,<b>Министерство</b> юстиции.,🏛️,m
un particulier,частное лицо,Un <b>particulier</b> vend sa maison.,<b>Частное лицо</b> продаёт дом.,🏠,m
un remords,угрызение совести,Sans aucun <b>remords</b>.,Без угрызений <b>совести</b>.,😔,m
douer,одарять,Il est <b>doué</b> en musique.,Он <b>одарён</b> в музыке.,🎵,v
emballer,упаковывать,<b>Emballe</b> le cadeau.,<b>Упакуй</b> подарок.,🎁,v
consentir,соглашаться,J'y <b>consens</b>.,Я <b>согласен</b>.,👍,v
un tunnel,туннель,Le <b>tunnel</b> est long.,<b>Туннель</b> длинный.,🚇,m
un insecte,насекомое,Un <b>insecte</b> m'a piqué.,<b>Насекомое</b> меня укусило.,🐛,m
saurer,коптить (рыбу),On va <b>saurer</b> le saumon.,Мы будем <b>коптить</b> лосося.,🐟,v
un triomphe,триумф,C'est un <b>triomphe</b>.,Это <b>триумф</b>.,🏆,m
replier,складывать,<b>Replie</b> la carte.,<b>Сложи</b> карту.,🗺️,v
un marquis,маркиз,Le <b>marquis</b> de Sade.,<b>Маркиз</b> де Сад.,👑,m
un grec,грек,Il est <b>grec</b>.,Он <b>грек</b>.,🇬🇷,m
un coiffeur,парикмахер,Va chez le <b>coiffeur</b>.,Сходи к <b>парикмахеру</b>.,💇,m
animer,оживлять,<b>Anime</b> la fête.,<b>Оживи</b> праздник.,🎉,v
apprêter,готовить; подготавливать,Je m'<b>apprête</b> à partir.,Я <b>собираюсь</b> уходить.,🚶,v
janvier,январь,"En <b>janvier</b>, il neige.",В <b>январе</b> идёт снег.,❄️,m
une version,версия,C'est la dernière <b>version</b>.,Это последняя <b>версия</b>.,📱,f
préserver,сохранять,<b>Préserve</b> l'environnement.,<b>Сохраняй</b> окружающую среду.,🌍,v
bondir,прыгать,Le chat <b>bondit</b>.,Кот <b>прыгает</b>.,🐱,v
un savon,мыло,Lave-toi avec du <b>savon</b>.,Мойся с <b>мылом</b>.,🧼,m
une tranchée,траншея,Creuse une <b>tranchée</b>.,Выкопай <b>траншею</b>.,⛏️,f
une réception,приём,La <b>réception</b> de l'hôtel.,<b>Ресепшн</b> отеля.,🏨,f
errer,блуждать,Il <b>erre</b> dans la ville.,Он <b>бродит</b> по городу.,🚶,v
une pub,реклама (разг.),Je déteste la <b>pub</b>.,Я ненавижу <b>рекламу</b>.,📺,f
"actuel, actuelle",текущий; актуальный,La situation <b>actuelle</b>.,<b>Текущая</b> ситуация.,📌,adj
un désastre,катастрофа,C'est un <b>désastre</b>.,Это <b>катастрофа</b>.,💥,m
un pêcheur,рыбак,Le <b>pêcheur</b> lance sa ligne.,<b>Рыбак</b> забрасывает удочку.,🎣,m
clore,закрывать; завершать,La discussion est <b>close</b>.,Дискуссия <b>закрыта</b>.,🔒,v
communiste,коммунистический,Le parti <b>communiste</b>.,<b>Коммунистическая</b> партия.,☭,adj
prolonger,продлевать,<b>Prolonge</b> ton séjour.,<b>Продли</b> пребывание.,➕,v
une signature,подпись,Mets ta <b>signature</b> ici.,Поставь <b>подпись</b> здесь.,✍️,f
une loge,ложа; каморка,La <b>loge</b> du concierge.,<b>Каморка</b> консьержа.,🚪,f
insupportable,невыносимый,C'est <b>insupportable</b>.,Это <b>невыносимо</b>.,😤,adj
une fillette,девочка,La petite <b>fillette</b>.,Маленькая <b>девочка</b>.,👧,f
fasciner,очаровывать,Ce film me <b>fascine</b>.,Этот фильм меня <b>очаровывает</b>.,✨,v
un troupeau,стадо,Un <b>troupeau</b> de vaches.,<b>Стадо</b> коров.,🐄,m
misérable,жалкий,Une vie <b>misérable</b>.,<b>Жалкая</b> жизнь.,😢,adj
une bagarre,драка,Il y a eu une <b>bagarre</b>.,Была <b>драка</b>.,👊,f
trancher,резать; решать,<b>Tranche</b> le pain.,<b>Нарежь</b> хлеб.,🔪,v
une production,производство,La <b>production</b> augmente.,<b>Производство</b> растёт.,🏭,f
ruiner,разорять,La guerre a <b>ruiné</b> le pays.,Война <b>разорила</b> страну.,💸,v
une nécessité,необходимость,C'est une <b>nécessité</b>.,Это <b>необходимость</b>.,❗,f
une bourse,биржа; стипендия,La <b>Bourse</b> de Paris.,Парижская <b>Биржа</b>.,📈,f
un meurtrier,убийца,Le <b>meurtrier</b> a été arrêté.,<b>Убийца</b> был арестован.,🔪,m
une facture,счёт,Paye la <b>facture</b>.,Оплати <b>счёт</b>.,🧾,f
consister,состоять,En quoi <b>consiste</b> le problème ?,В чём <b>состоит</b> проблема?,🤔,v
flatter,льстить,Ne me <b>flatte</b> pas.,Не <b>льсти</b> мне.,😏,v
un humour,юмор,Il a de l'<b>humour</b>.,У него есть <b>юмор</b>.,😂,m
un indice,улика; индекс,Voici un <b>indice</b>.,Вот <b>улика</b>.,🔍,m
une longueur,длина,La <b>longueur</b> du couloir.,<b>Длина</b> коридора.,📏,f
une sauce,соус,Une <b>sauce</b> tomate.,Томатный <b>соус</b>.,🍝,f
un berger,пастух,Le <b>berger</b> garde le troupeau.,<b>Пастух</b> охраняет стадо.,🐑,m
un serviteur,слуга,Votre humble <b>serviteur</b>.,Ваш скромный <b>слуга</b>.,🙇,m
un plancher,пол (деревянный),Le <b>plancher</b> grince.,<b>Пол</b> скрипит.,🪵,m
un virus,вирус,Le <b>virus</b> se propage.,<b>Вирус</b> распространяется.,🦠,m
une peste,чума; зараза,La <b>peste</b> noire.,Чёрная <b>чума</b>.,☠️,f
"occupé, occupée",занятый,Je suis <b>occupé</b>.,Я <b>занят</b>.,🏃,adj
un passager,пассажир,Les <b>passagers</b> du train.,<b>Пассажиры</b> поезда.,🚂,m
un velours,бархат,Un fauteuil en <b>velours</b>.,Кресло из <b>бархата</b>.,🪑,m
"géant, géante",гигантский,Un pas de <b>géant</b>.,<b>Гигантский</b> шаг.,👣,adj
dater,датировать,Le document <b>date</b> de 1900.,Документ <b>датирован</b> 1900 годом.,📅,v
salir,пачкать,Ne <b>salis</b> pas tes vêtements.,Не <b>пачкай</b> одежду.,👕,v
chuchoter,шептать,Il <b>chuchote</b> à mon oreille.,Он <b>шепчет</b> мне на ухо.,🤫,v
un malin,хитрец,C'est un petit <b>malin</b>.,Это маленький <b>хитрец</b>.,😏,m
améliorer,улучшать,<b>Améliore</b> ton français.,<b>Улучшай</b> свой французский.,📈,v
aviser,уведомлять,Je t'<b>aviserai</b>.,Я тебя <b>уведомлю</b>.,📢,v
un car,автобус (междугородний),Prends le <b>car</b>.,Садись на <b>автобус</b>.,🚌,m
acquérir,приобретать,<b>Acquérir</b> de l'expérience.,<b>Приобретать</b> опыт.,📚,v
un duc,герцог,Le <b>duc</b> de Normandie.,<b>Герцог</b> Нормандии.,👑,m
un représentant,представитель,Le <b>représentant</b> commercial.,Торговый <b>представитель</b>.,💼,m
"récent, récente",недавний,Un événement <b>récent</b>.,<b>Недавнее</b> событие.,🕐,adj
surmonter,преодолевать,<b>Surmonte</b> tes peurs.,<b>Преодолей</b> свои страхи.,💪,v
un envers,изнанка,L'<b>envers</b> du décor.,<b>Изнанка</b> декораций.,🎭,m
un cahier,тетрадь,Ouvre ton <b>cahier</b>.,Открой <b>тетрадь</b>.,📓,m
gueuler,орать (разг.),Ne <b>gueule</b> pas !,Не <b>ори</b>!,📢,v
spécialiste,специалист,C'est un <b>spécialiste</b>.,Он <b>специалист</b>.,🎯,m
un obstacle,препятствие,Un <b>obstacle</b> sur la route.,<b>Препятствие</b> на дороге.,🚧,m
une richesse,богатство,La <b>richesse</b> du pays.,<b>Богатство</b> страны.,💎,f
un oubli,забывание,C'est un <b>oubli</b>.,Это <b>упущение</b>.,🤦,m
un chantier,стройка,Le <b>chantier</b> avance.,<b>Стройка</b> продвигается.,🏗️,m
"surpris, surprise",удивлённый,Je suis <b>surpris</b>.,Я <b>удивлён</b>.,😮,adj
une sagesse,мудрость,La <b>sagesse</b> des anciens.,<b>Мудрость</b> древних.,🦉,f
une trouille,страх (разг.),J'ai la <b>trouille</b>.,Мне <b>страшно</b>.,😱,f
un poison,яд,C'est du <b>poison</b>.,Это <b>яд</b>.,☠️,m
un pigeon,голубь,Le <b>pigeon</b> roucoule.,<b>Голубь</b> воркует.,🕊️,m
un foot,футбол (разг.),Je joue au <b>foot</b>.,Я играю в <b>футбол</b>.,⚽,m
un orchestre,оркестр,L'<b>orchestre</b> joue.,<b>Оркестр</b> играет.,🎻,m
sexy,сексуальный,Elle est très <b>sexy</b>.,Она очень <b>сексуальная</b>.,🔥,adj
