French,Russian,ExampleFrench,ExampleRussian,Emoji
"collectif, collective",коллективный,"Un travail <b>collectif</b>.","<b>Коллективная</b> работа.",👥
une boxe,бокс,"Un match de <b>boxe</b>.","Матч по <b>боксу</b>.",🥊
une frappe,удар,"Une <b>frappe</b> chirurgicale.","Точечный <b>удар</b>.",💥
calmement,спокойно,"Parler <b>calmement</b>.","Говорить <b>спокойно</b>.",😌
"déçu, déçue",разочарованный,"Je suis <b>déçu</b>.","Я <b>разочарован</b>.",😞
une compassion,сострадание,"Avoir de la <b>compassion</b>.","Испытывать <b>сострадание</b>.",❤️
enrouler,наматывать,"<b>Enrouler</b> le câble.","<b>Намотать</b> кабель.",🔄
une paye,зарплата,"Jour de <b>paye</b>.","День <b>зарплаты</b>.",💰
une préférence,предпочтение,"Ma <b>préférence</b> personnelle.","Моё личное <b>предпочтение</b>.",⭐
alerter,тревожить,"<b>Alerter</b> les secours.","<b>Вызвать</b> спасателей.",🚨
une conserve,консервы,"Une boîte de <b>conserve</b>.","Банка <b>консервов</b>.",🥫
enlacer,обнимать,"<b>Enlacer</b> quelqu'un.","<b>Обнять</b> кого-то.",🤗
un amiral,адмирал,"L'<b>amiral</b> commande la flotte.","<b>Адмирал</b> командует флотом.",⚓
"inhabituel, inhabituelle",необычный,"Un événement <b>inhabituel</b>.","<b>Необычное</b> событие.",🤔
tasser,утрамбовывать,"<b>Tasser</b> la terre.","<b>Утрамбовать</b> землю.",🏗️
bizarrement,странно,"<b>Bizarrement</b>, il est parti.","<b>Странно</b>, он ушёл.",🤨
un minimum,минимум,"Le <b>minimum</b> requis.","Требуемый <b>минимум</b>.",📉
"natal, natale",родной,"Ma ville <b>natale</b>.","Мой <b>родной</b> город.",🏠
une cloison,перегородка,"Une <b>cloison</b> fine.","Тонкая <b>перегородка</b>.",🧱
une addition,счёт; сложение,"Demander l'<b>addition</b>.","Попросить <b>счёт</b>.",🧾
trouble,мутный,"Une eau <b>trouble</b>.","<b>Мутная</b> вода.",💧
un sursaut,вздрагивание,"Un <b>sursaut</b> de surprise.","<b>Вздрогнуть</b> от неожиданности.",😲
maudire,проклинать,"<b>Maudire</b> son ennemi.","<b>Проклинать</b> врага.",😠
une étincelle,искра,"Une <b>étincelle</b> de génie.","<b>Искра</b> гениальности.",✨
fleurir,цвести,"Les roses <b>fleurissent</b>.","Розы <b>цветут</b>.",🌹
une excitation,возбуждение,"Une grande <b>excitation</b>.","Сильное <b>возбуждение</b>.",🎉
pressentir,предчувствовать,"Je le <b>pressentais</b>.","Я это <b>предчувствовал</b>.",🔮
"affectueux, affectueuse",ласковый,"Un chat <b>affectueux</b>.","<b>Ласковый</b> кот.",🐱
un abord,подход,"Au premier <b>abord</b>.","На первый <b>взгляд</b>.",👁️
transpirer,потеть,"<b>Transpirer</b> sous la chaleur.","<b>Потеть</b> от жары.",🥵
reconstituer,восстанавливать,"<b>Reconstituer</b> les faits.","<b>Восстановить</b> факты.",🔍
"masculin, masculine",мужской,"Le genre <b>masculin</b>.","<b>Мужской</b> род.",👨
rayer,вычёркивать,"<b>Rayer</b> de la liste.","<b>Вычеркнуть</b> из списка.",✏️
irrésistible,неотразимый,"Un charme <b>irrésistible</b>.","<b>Неотразимое</b> обаяние.",😍
un religieux,монах,"Un <b>religieux</b> bénédictin.","Бенедиктинский <b>монах</b>.",🙏
empirer,ухудшаться,"La situation <b>empire</b>.","Ситуация <b>ухудшается</b>.",📉
