French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
que,что; который,Je sais <b>que</b> tu as raison.,"Я знаю, <b>что</b> ты прав.",📎,pron
sur,на (поверхность),Pose ton sac <b>sur</b> la table.,Положи сумку <b>на</b> стол.,⬆️,prep
lui,ему; ей; он (ударн.),Je <b>lui</b> ai parlé hier.,Я говорил с <b>ним</b> вчера.,👤,pron
ils,они (м.р.),<b>Ils</b> arrivent demain.,<b>Они</b> приезжают завтра.,👥,pron
moi,я (ударн.),C'est pour <b>moi</b> ?,Это для <b>меня</b>?,👤,pron
t',тебя; тебе (перед гласной),Je <b>t'</b>aime.,Я <b>тебя</b> люблю.,💕,pron
te,тебя; тебе,Je <b>te</b> vois demain.,Увидимся завтра.,👤,pron
par,через; по,"Passe <b>par</b> le parc, c'est plus court.","Пройди <b>через</b> парк, так короче.",➡️,prep
oui,да,"<b>Oui</b>, je suis disponible demain matin.","<b>Да</b>, я свободен завтра утром.",✅,adv
où,где; куда,<b>Où</b> est la station de métro la plus proche ?,<b>Где</b> ближайшая станция метро?,📍,pron
rien,ничего,Je n'ai <b>rien</b> compris à cette émission en québécois.,Я <b>ничего</b> не понял в этой передаче на квебекском.,0️⃣,pron
toi,ты (ударн.),C'est <b>toi</b> qui décides.,<b>Ты</b> решаешь.,👤,pron
quand,когда,<b>Quand</b> est-ce que tu arrives à Montréal ?,<b>Когда</b> ты приезжаешь в Монреаль?,⏰,conj
ou,или,Tu préfères le café <b>ou</b> le thé ?,Ты предпочитаешь кофе <b>или</b> чай?,🔀,conj
sans,без,Je ne peux pas vivre <b>sans</b> café le matin.,Я не могу жить <b>без</b> кофе по утрам.,🚫,prep
très,очень,Il fait <b>très</b> frette aujourd'hui — moins vingt !,Сегодня <b>очень</b> холодно — минус двадцать!,💯,adv
encore,ещё; снова,"Tu peux répéter <b>encore</b> une fois, s'il te plaît ?","Можешь повторить <b>ещё</b> раз, пожалуйста?",🔁,adv
tout,"весь, всё",<b>Tout</b> le monde est là.,<b>Все</b> здесь.,🌍,adv
jamais,никогда,Je n'ai <b>jamais</b> vu autant de neige !,Я <b>никогда</b> не видел столько снега!,🚫,adv
aux,слитный артикль (à + les),Je parle <b>aux</b> enfants.,Я говорю с детьми.,📎,art
deux,два,J'ai <b>deux</b> frères.,У меня <b>два</b> брата.,2️⃣,num
toujours,всегда,Il fait <b>toujours</b> froid en janvier au Québec.,В январе в Квебеке <b>всегда</b> холодно.,♾️,adv
trop,слишком,Il fait <b>trop</b> froid pour sortir aujourd'hui.,"Сегодня <b>слишком</b> холодно, чтобы выходить.",📈,adv
est-ce que,ли (вопрос),<b>Est-ce que</b> tu parles français ?,Ты говоришь по-французски?,❓,adv
peut-être,может быть,<b>Peut-être</b> qu'il neigera demain.,"<b>Может быть</b>, завтра будет снег.",🤔,adv
maintenant,сейчас; теперь,<b>Maintenant</b> je comprends mieux le québécois.,<b>Теперь</b> я лучше понимаю квебекский.,⏰,adv
chez,у; к; в (дом/офис),Je vais <b>chez</b> le médecin cet après-midi.,Я иду <b>к</b> врачу сегодня после обеда.,🏠,prep
vraiment,действительно; очень,C'est <b>vraiment</b> difficile de trouver un logement.,<b>Действительно</b> сложно найти жильё.,💯,adv
oh,о! ох!,"<b>Oh</b>, c'est tellement beau ici !","<b>О</b>, здесь так красиво!",😮,interj
sous,под,Le chat est caché <b>sous</b> le lit.,Кот спрятался <b>под</b> кроватью.,⬇️,prep
cela,это; то,<b>Cela</b> ne me plaît pas.,<b>Это</b> мне не нравится.,👆,pron
merci,спасибо,<b>Merci</b> beaucoup pour ton aide !,Большое <b>спасибо</b> за помощь!,🙏,interj
moins,меньше; минус,Il fait <b>moins</b> vingt degrés dehors.,На улице <b>минус</b> двадцать градусов.,➖,adv
beaucoup,много,J'aime <b>beaucoup</b> la poutine !,Я <b>очень</b> люблю путин!,📈,adv
entre,между,Le café est <b>entre</b> la banque et la pharmacie.,Кафе <b>между</b> банком и аптекой.,↔️,prep
mieux,лучше,Tu parles français <b>mieux</b> qu'avant.,"Ты говоришь по-французски <b>лучше</b>, чем раньше.",⬆️,adv
autre,другой,Tu as une <b>autre</b> idée ?,У тебя есть <b>другая</b> идея?,🔄,pron
vers,к; около (время),Je finis le travail <b>vers</b> dix-sept heures.,Я заканчиваю работу <b>около</b> пяти.,➡️,prep
dont,о котором; чей,Le livre <b>dont</b> je parle est célèbre.,"Книга, <b>о которой</b> я говорю, знаменита.",📎,pron
pourquoi,почему,<b>Pourquoi</b> as-tu choisi le Canada ?,<b>Почему</b> ты выбрал Канаду?,❓,conj
elles,они (ж.р.),<b>Elles</b> sont arrivées hier.,<b>Они</b> приехали вчера.,👩‍👩‍👧,pron
trois,три,J'ai <b>trois</b> soeurs.,У меня <b>три</b> сестры.,3️⃣,num
ni,ни,Je ne parle <b>ni</b> anglais <b>ni</b> espagnol.,"Я не говорю <b>ни</b> по-английски, <b>ни</b> по-испански.",🚫,conj
personne,никто,<b>Personne</b> n'a répondu à mon courriel.,<b>Никто</b> не ответил на мой email.,0️⃣,pron
ah,а! ах!,"<b>Ah</b>, maintenant je comprends !","<b>А</b>, теперь я понимаю!",💡,interj
vite,быстро,"Viens <b>vite</b>, le bus arrive !","Иди <b>быстрее</b>, автобус приезжает!",⚡,adv
quelqu'un,кто-то,<b>Quelqu'un</b> m'a appelé ce matin.,<b>Кто-то</b> мне звонил утром.,👤,pron
contre,против,Je suis <b>contre</b> cette idée.,Я <b>против</b> этой идеи.,🚫,prep
assez,достаточно,J'en ai <b>assez</b> de ce froid !,Мне <b>хватит</b> этого холода!,✋,adv
mal,плохо,J'ai <b>mal</b> à la gorge depuis hier.,У меня болит горло со вчерашнего дня.,😣,adv
tant,столько; так,J'ai <b>tant</b> de choses à faire aujourd'hui.,У меня <b>столько</b> дел сегодня.,📊,adv
eux,они (ударн.),C'est pour <b>eux</b>.,Это для <b>них</b>.,👥,pron
peu,мало,Il y a <b>peu</b> de neige cette année.,В этом году <b>мало</b> снега.,📉,adv
tard,поздно,"Il est <b>tard</b>, je dois rentrer.","Уже <b>поздно</b>, мне нужно домой.",🌙,adv
leur,им,Je <b>leur</b> ai donné le livre.,Я дал <b>им</b> книгу.,👥,pron
ouais,да (разг.),"<b>Ouais</b>, je suis d'accord avec toi.","<b>Да</b>, я с тобой согласен.",👍,adv
loin,далеко,Le supermarché n'est pas <b>loin</b> d'ici.,Супермаркет <b>недалеко</b> отсюда.,📍,adv
seulement,только,J'ai <b>seulement</b> cinq minutes pour manger.,У меня <b>только</b> пять минут на еду.,1️⃣,adv
tous,все,"<b>Tous</b> les jours, je travaille.",<b>Каждый</b> день я работаю.,👥,pron
demain,завтра,On se voit <b>demain</b> au bureau.,Увидимся <b>завтра</b> в офисе.,📆,adv
longtemps,долго,Ça fait <b>longtemps</b> que je ne t'ai pas vu !,<b>Давно</b> тебя не видел!,⏰,adv
eh,э! эй!,"<b>Eh</b>, tu m'écoutes ou non ?","<b>Эй</b>, ты меня слушаешь или нет?",👋,interj
hein,а? да?,"Tu viens avec nous, <b>hein</b> ?","Ты идёшь с нами, <b>да</b>?",❓,interj
presque,почти,J'ai <b>presque</b> fini mon travail.,Я <b>почти</b> закончил работу.,📊,adv
aujourd'hui,сегодня,"<b>Aujourd'hui</b>, il fait beau dehors.",<b>Сегодня</b> на улице хорошая погода.,📅,adv
celui,тот; этот (м.р.),<b>Celui</b> qui arrive est mon ami.,"<b>Тот</b>, кто приходит — мой друг.",👆,pron
combien,сколько,<b>Combien</b> ça coûte ?,<b>Сколько</b> это стоит?,🔢,adv
ceux,те; эти (м.р. мн.ч.),<b>Ceux</b> qui veulent peuvent partir.,"<b>Те</b>, кто хочет, могут уйти.",👥,pron
plutôt,скорее; лучше,Je préfère <b>plutôt</b> rester à la maison.,Я <b>лучше</b> останусь дома.,🔄,adv
ailleurs,в другом месте,Je préfère aller <b>ailleurs</b>.,Я предпочитаю пойти <b>в другое место</b>.,➡️,adv
ensemble,вместе,On travaille mieux <b>ensemble</b>.,<b>Вместе</b> мы работаем лучше.,👫,adv
parfois,иногда,"<b>Parfois</b>, je m'ennuie de mon pays.",<b>Иногда</b> я скучаю по родине.,🔄,adv
surtout,особенно; главное,"<b>Surtout</b>, n'oublie pas ton passeport !","<b>Главное</b>, не забудь паспорт!",⚠️,adv
voici,вот (ближе),<b>Voici</b> mon numéro de téléphone.,<b>Вот</b> мой номер телефона.,👆,prep
là-bas,там (далеко),Tu vois le magasin <b>là-bas</b> ?,Видишь магазин <b>там</b>?,👉,adv
celle,та; эта (ж.р.),<b>Celle</b> que j'aime est partie.,"<b>Та</b>, которую я люблю, уехала.",👆,pron
quatre,четыре,Il y a <b>quatre</b> saisons.,Есть <b>четыре</b> времени года.,4️⃣,num
autour,вокруг,Il y a beaucoup d'arbres <b>autour</b> de la maison.,<b>Вокруг</b> дома много деревьев.,🔄,adv
dès,с; начиная с,"<b>Dès</b> que possible, je t'appelle.","<b>Как только</b> возможно, я тебе позвоню.",⏰,prep
souvent,часто,Je vais <b>souvent</b> au gym.,Я <b>часто</b> хожу в спортзал.,🔁,adv
juste,справедливый; точно,C'est <b>juste</b> ce que je voulais dire.,"Это <b>именно</b> то, что я хотел сказать.",✅,adv
en,в; на (без артикля),Je vis <b>en</b> France depuis cinq ans.,Я живу <b>во</b> Франции пять лет.,🗺️,adv
fort,сильно; громко,"Parle plus <b>fort</b>, je ne t'entends pas.","Говори <b>громче</b>, я тебя не слышу.",📢,adv
autant,столько же; так же,J'aime <b>autant</b> le café que le thé.,"Я люблю кофе <b>так же</b>, как и чай.",⚖️,adv
cinq,пять,J'ai <b>cinq</b> doigts.,У меня <b>пять</b> пальцев.,5️⃣,num
hé,эй,"<b>Hé</b>, attends-moi !","<b>Эй</b>, подожди меня!",👋,interj
tellement,так; настолько,Je suis <b>tellement</b> fatigué aujourd'hui.,Я <b>так</b> устал сегодня.,📈,adv
les gens,люди,Les <b>gens</b> au Québec sont très sympathiques.,<b>Люди</b> в Квебеке очень приятные.,👥,m pl
hier,вчера,"<b>Hier</b>, j'ai passé mon examen.",<b>Вчера</b> я сдал экзамен.,📅,adv
l'un,один (из),<b>L'un</b> de vous doit venir.,<b>Один</b> из вас должен прийти.,1️⃣,pron
partout,везде; повсюду,Il y a de la neige <b>partout</b> en hiver.,Зимой <b>везде</b> снег.,🌍,adv
dix,десять,J'attends depuis <b>dix</b> minutes.,Я жду уже <b>десять</b> минут.,🔟,num
merde,чёрт! (межд.),<b>Merde</b> ! J'ai oublié mes clés.,<b>Чёрт</b>! Я забыл ключи.,🤬,interj
six,шесть,Il y a <b>six</b> jours dans la semaine de travail.,В рабочей неделе <b>шесть</b> дней.,6️⃣,num
pardon,извините; простите,"<b>Pardon</b>, je ne vous ai pas vu.","<b>Извините</b>, я вас не заметил.",🙏,interj
chacun,каждый,<b>Chacun</b> pour soi.,<b>Каждый</b> сам за себя.,👤,pron
tôt,рано,Je me lève <b>tôt</b> chaque matin.,Я встаю <b>рано</b> каждое утро.,⏰,adv
salut,привет; пока,"<b>Salut</b>, comment ça va ?","<b>Привет</b>, как дела?",👋,interj
debout,стоя; на ногах,Je suis resté <b>debout</b> toute la journée.,Я простоял весь день <b>на ногах</b>.,🧍,adv
laquelle,которая,La maison dans <b>laquelle</b> j'habite.,"Дом, в <b>котором</b> я живу.",❓,pron
doucement,тихо; медленно,"Parle <b>doucement</b>, le bébé dort.","Говори <b>тихо</b>, малыш спит.",🤫,adv
lorsque,когда (в тексте),"<b>Lorsque</b> j'étais jeune, j'habitais à Paris.","<b>Когда</b> я был молодым, я жил в Париже.",⏰,conj
près,близко; рядом,J'habite <b>près</b> du centre-ville.,Я живу <b>рядом</b> с центром.,📍,adv
parmi,среди,"<b>Parmi</b> tous les candidats, il est le meilleur.",<b>Среди</b> всех кандидатов он лучший.,👥,prep
sûrement,наверняка; точно,Il viendra <b>sûrement</b> demain.,Он <b>точно</b> придёт завтра.,✅,adv
lui-même,сам (он),Il l'a fait <b>lui-même</b>.,Он сделал это <b>сам</b>.,👤,pron
comment,как,<b>Comment</b> dit-on « car » en québécois ? — Char !,<b>Как</b> по-квебекски «машина»? — Шар!,❓,interj
simplement,просто,"<b>Simplement</b>, dis-moi la vérité.",<b>Просто</b> скажи мне правду.,✅,adv
attention,внимание (восклицание),"<b>Attention</b>, la route est glissante !","<b>Осторожно</b>, дорога скользкая!",⚠️,interj
ceci,это (вот это),<b>Ceci</b> est important.,<b>Это</b> важно.,👆,pron
sauf,кроме; за исключением,Tout le monde est venu <b>sauf</b> lui.,"Все пришли, <b>кроме</b> него.",🚫,prep
complètement,полностью; совершенно,J'ai <b>complètement</b> oublié notre rendez-vous.,Я <b>совершенно</b> забыл о нашей встрече.,💯,adv
lequel,который (м.р.),<b>Lequel</b> préfères-tu ?,<b>Который</b> ты предпочитаешь?,❓,pron
selon,согласно; по,"<b>Selon</b> la météo, il va neiger demain.","<b>Согласно</b> прогнозу, завтра будет снег.",📋,prep
moi-même,сам (я),Je l'ai fait <b>moi-même</b>.,Я сделал это <b>сам</b>.,👤,pron
mille,тысяча,J'ai <b>mille</b> euros.,У меня <b>тысяча</b> евро.,💰,num
dessus,наверху; сверху,Pose ton sac <b>dessus</b>.,Положи сумку <b>сверху</b>.,⬆️,adv
ok,окей; хорошо,C'est <b>OK</b> pour moi.,Для меня <b>окей</b>.,👌,adv
quelque,какой-то; несколько,J'ai <b>quelques</b> questions sur l'immigration.,У меня есть <b>несколько</b> вопросов об иммиграции.,🔢,adv
neuf,девять,"Il y a <b>neuf</b> planètes... pardon, huit.","Есть <b>девять</b> планет... простите, восемь.",9️⃣,num
hors,вне; за пределами,Il est <b>hors</b> de question.,Это <b>исключено</b>.,🚫,prep
cent,сто,J'ai <b>cent</b> dollars.,У меня <b>сто</b> долларов.,💯,num
vingt,двадцать,Il a <b>vingt</b> ans.,Ему <b>двадцать</b> лет.,2️⃣0️⃣,num
lentement,медленно,"Parle plus <b>lentement</b>, s'il te plaît.","Говори <b>медленнее</b>, пожалуйста.",🐢,adv
derrière,за; позади,Le parking est <b>derrière</b> le bâtiment.,Парковка <b>за</b> зданием.,⬅️,adv
huit,восемь,J'ai <b>huit</b> heures de travail.,У меня <b>восемь</b> часов работы.,8️⃣,num
plein,полно (предлог),Il y a <b>plein</b> de monde.,<b>Полно</b> народу.,📦,prep
des vacances,каникулы; отпуск,Je pars en <b>vacances</b> la semaine prochaine.,Я уезжаю в <b>отпуск</b> на следующей неделе.,🏖️,f pl
euh,э-э (междометие раздумья),"<b>Euh</b>, je ne sais pas.","<b>Э-э</b>, не знаю.",🤔,interj
sept,семь,Il y a <b>sept</b> jours dans une semaine.,В неделе <b>семь</b> дней.,7️⃣,num
celui-là,тот (вон тот),Je préfère <b>celui-là</b>.,Я предпочитаю <b>тот</b>.,👆,pron
devant,перед; впереди,Le parc est <b>devant</b> l'école.,Парк <b>перед</b> школой.,⏩,adv
celles,те (ж.р. мн.ч.),<b>Celles</b> qui veulent peuvent partir.,"<b>Те</b>, кто хочет, могут уйти.",👆,pron
dedans,внутри,Qu'est-ce qu'il y a <b>dedans</b> ?,Что там <b>внутри</b>?,📦,adv
haut,высоко; громко,Parle plus <b>haut</b> !,Говори <b>громче</b>!,⬆️,adv
l'une,одна (из),<b>L'une</b> d'elles est ma soeur.,<b>Одна</b> из них — моя сестра.,1️⃣,pron
là-haut,там наверху,L'oiseau est <b>là-haut</b> dans l'arbre.,Птица <b>там наверху</b> на дереве.,⬆️,adv
certainement,конечно; безусловно,"<b>Certainement</b>, je serai là.","<b>Конечно</b>, я буду там.",✅,adv
davantage,больше,J'aimerais en savoir <b>davantage</b>.,Я бы хотел узнать <b>больше</b>.,➕,adv
probablement,вероятно,Il viendra <b>probablement</b> demain.,Он <b>вероятно</b> придёт завтра.,🤔,adv
celui-ci,этот (вот этот),<b>Celui-ci</b> est meilleur.,<b>Этот</b> лучше.,👆,pron
elle-même,сама (она),Elle l'a fait <b>elle-même</b>.,Она сделала это <b>сама</b>.,👩,pron
parfaitement,совершенно,Je comprends <b>parfaitement</b>.,Я <b>прекрасно</b> понимаю.,✅,adv
auprès,при; возле,Je travaille <b>auprès</b> des enfants.,Я работаю <b>с</b> детьми.,👶,prep
guère,едва; почти не,Je n'ai <b>guère</b> le temps.,У меня почти нет времени.,⏰,adv
là-dedans,там внутри,Qu'est-ce qu'il y a <b>là-dedans</b> ?,Что <b>там внутри</b>?,📦,adv
un,неопределённый артикль (м.р.),J'ai <b>un</b> ami québécois.,У меня есть друг из Квебека.,📎,num
évidemment,очевидно; конечно,"<b>Évidemment</b>, tu as raison.","<b>Очевидно</b>, ты прав.",✅,adv
quinze,пятнадцать,J'ai <b>quinze</b> minutes de retard.,Я опаздываю на <b>пятнадцать</b> минут.,1️⃣5️⃣,num
point,совсем не (с ne),Je n'en veux <b>point</b>.,Я этого <b>совсем</b> не хочу.,🚫,adv
soi,себя (неопр.),Chacun pour <b>soi</b>.,Каждый за <b>себя</b>.,👤,pron
lors,во время,"<b>Lors</b> de la réunion, il a parlé.",<b>Во время</b> собрания он выступил.,📅,adv
autrement,иначе,Fais-le <b>autrement</b>.,Сделай это <b>иначе</b>.,🔄,adv
cents,сотни,Deux <b>cents</b> personnes.,<b>Двести</b> человек.,💯,num
même,даже; тот же,"<b>Même</b> en été, il peut faire frais au Québec.",<b>Даже</b> летом в Квебеке может быть прохладно.,🔄,pron
brusquement,резко; внезапно,Il s'est arrêté <b>brusquement</b>.,Он <b>резко</b> остановился.,⚡,adv
celle-ci,эта (вот эта),<b>Celle-ci</b> est plus jolie.,<b>Эта</b> красивее.,👆,pron
heureusement,к счастью,"<b>Heureusement</b>, il n'y a pas eu de blessés.","<b>К счастью</b>, обошлось без раненых.",😮‍💨,adv
environ,около; примерно,Il y a <b>environ</b> cent personnes.,Там <b>около</b> ста человек.,📊,adv
celle-là,та (вон та),<b>Celle-là</b> est meilleure.,<b>Та</b> лучше.,👆,pron
trente,тридцать,Il a <b>trente</b> ans.,Ему <b>тридцать</b> лет.,3️⃣0️⃣,num
marre,сыт по горло (разг.),J'en ai <b>marre</b> !,Мне это <b>надоело</b>!,😤,adv
naturellement,естественно; конечно,"<b>Naturellement</b>, je suis d'accord.","<b>Конечно</b>, я согласен.",👍,adv
rapidement,быстро,Viens <b>rapidement</b> !,Приходи <b>быстро</b>!,⚡,adv
chaud,горячо; жарко,Il fait <b>chaud</b> dehors.,На улице <b>жарко</b>.,🔥,adv
apparemment,по-видимому,"<b>Apparemment</b>, il est parti.","<b>По-видимому</b>, он ушёл.",🤔,adv
par-dessus,поверх,Mets un manteau <b>par-dessus</b>.,Надень пальто <b>поверх</b>.,🧥,prep
certes,конечно; разумеется,"<b>Certes</b>, tu as raison.","<b>Конечно</b>, ты прав.",✅,adv
uns,одни (неопр.),Les <b>uns</b> et les autres.,<b>Одни</b> и другие.,👥,pron
au-delà,за пределами,<b>Au-delà</b> de cette limite.,<b>За пределами</b> этой границы.,🚧,adv
pis,хуже; ещё хуже,Tant <b>pis</b> pour lui.,Тем <b>хуже</b> для него.,😔,adv
bravo,браво,<b>Bravo</b> !,<b>Браво</b>!,👏,interj
envers,по отношению к,Il est gentil <b>envers</b> moi.,Он добр <b>ко</b> мне.,🤝,prep
douze,двенадцать,Il est <b>douze</b> heures.,Сейчас <b>двенадцать</b> часов.,🕛,num
sérieusement,серьёзно,"<b>Sérieusement</b>, arrête !","<b>Серьёзно</b>, прекрати!",😤,adv
toi-même,сам (ты),Fais-le <b>toi-même</b> !,Сделай это <b>сам</b>!,👤,pron
directement,напрямую,Va <b>directement</b> chez lui.,Иди <b>прямо</b> к нему.,➡️,adv
droit,прямо,Va tout <b>droit</b>.,Иди <b>прямо</b>.,➡️,adv
là-dessus,на этом; по этому поводу,Je ne suis pas d'accord <b>là-dessus</b>.,Я не согласен <b>с этим</b>.,👆,adv
quelquefois,иногда,"<b>Quelquefois</b>, je suis triste.",<b>Иногда</b> мне грустно.,🤔,adv
grand-chose,многое; много,Il n'y a pas <b>grand-chose</b> à faire.,<b>Особо</b> нечего делать.,🤷,pron
facilement,легко,C'est <b>facilement</b> réparable.,Это <b>легко</b> починить.,👍,adv
etc,и т.д.,"Les fruits, légumes, <b>etc</b>.","Фрукты, овощи <b>и т.д.</b>",📝,adv
tantôt,то..то; позже,"<b>Tantôt</b> il rit, <b>tantôt</b> il pleure.","<b>То</b> он смеётся, <b>то</b> плачет.",🔄,adv
cinquante,пятьдесят,Il a <b>cinquante</b> ans.,Ему <b>пятьдесят</b> лет.,5️⃣0️⃣,num
légèrement,слегка,<b>Légèrement</b> blessé.,<b>Слегка</b> ранен.,👌,adv
malheureusement,к сожалению,"<b>Malheureusement</b>, c'est fermé.","<b>К сожалению</b>, закрыто.",😞,adv
cher,дорого,Ça coûte <b>cher</b>.,Это стоит <b>дорого</b>.,💰,adv
hélas,увы,"<b>Hélas</b>, c'est impossible.","<b>Увы</b>, это невозможно.",😢,interj
bas,низко; тихо,Parle plus <b>bas</b>.,Говори <b>тише</b>.,🔉,adv
auquel,которому,L'homme <b>auquel</b> je parle.,"Мужчина, <b>с которым</b> я говорю.",❓,pron
adieu,прощай,"<b>Adieu</b>, mon ami.","<b>Прощай</b>, друг.",👋,interj
vive,да здравствует,<b>Vive</b> le Québec !,Да здравствует Квебек!,🎉,interj
entièrement,полностью,C'est <b>entièrement</b> vrai.,Это <b>полностью</b> верно.,💯,adv
forcément,обязательно; неизбежно,C'est <b>forcément</b> lui.,Это <b>наверняка</b> он.,✅,adv
totalement,полностью; совершенно,Je suis <b>totalement</b> d'accord.,Я <b>полностью</b> согласен.,💯,adv
une,неопределённый артикль (ж.р.),J'ai <b>une</b> question.,У меня есть вопрос.,📎,num
longuement,долго,On en a <b>longuement</b> parlé.,Мы <b>долго</b> об этом говорили.,⏳,adv
lesquels,которые (м.р.),<b>Lesquels</b> préfères-tu ?,<b>Которые</b> ты предпочитаешь?,❓,pron
profondément,глубоко,Je suis <b>profondément</b> touché.,Я <b>глубоко</b> тронут.,❤️,adv
eux-mêmes,сами (они м.р.),Ils l'ont fait <b>eux-mêmes</b>.,Они сделали это <b>сами</b>.,👥,pron
là,там; тут,"Le supermarché est juste <b>là</b>, au coin.","Супермаркет прямо <b>там</b>, на углу.",👉,interj
lesquelles,которые (ж.р.),Les règles <b>lesquelles</b> tu dois suivre.,"Правила, <b>которые</b> ты должен соблюдать.",❓,pron
vous-même,сами (Вы),Faites-le <b>vous-même</b>.,Сделайте это <b>сами</b>.,👤,pron
jusque,до; вплоть до,"<b>Jusque</b> là, tout va bien.",<b>До сих пор</b> всё хорошо.,➡️,prep
heu,э-э; хм,<b>Heu</b>... je ne sais pas.,<b>Э-э</b>... я не знаю.,🤔,interj
vaguement,смутно,Je m'en souviens <b>vaguement</b>.,Я <b>смутно</b> помню.,🤔,adv
particulièrement,особенно,Je l'aime <b>particulièrement</b>.,Я её <b>особенно</b> люблю.,❤️,adv
demi,наполовину,Elle est <b>demi</b>-folle.,Она <b>наполовину</b> сумасшедшая.,½,adv
uniquement,исключительно,C'est <b>uniquement</b> pour toi.,Это <b>только</b> для тебя.,☝️,adv
ô,о! (возглас),<b>Ô</b> mon Dieu !,<b>О</b> боже мой!,😲,interj
hum,хм,<b>Hum</b>... intéressant.,<b>Хм</b>... интересно.,🤔,interj
quarante,сорок,Il a <b>quarante</b> ans.,Ему <b>сорок</b> лет.,4️⃣0️⃣,num
onze,одиннадцать,L'équipe a <b>onze</b> joueurs.,В команде <b>одиннадцать</b> игроков.,1️⃣1️⃣,num
chacune,каждая,<b>Chacune</b> a son style.,У <b>каждой</b> свой стиль.,👩,pron
réellement,действительно,C'est <b>réellement</b> vrai.,Это <b>действительно</b> так.,✅,adv
précisément,именно; точно,<b>Précisément</b> ce que je voulais.,"<b>Именно</b> то, что я хотел.",🎯,adv
hop,оп! хоп!,"<b>Hop</b>, on y va !","<b>Хоп</b>, поехали!",🏃,interj
rarement,редко,Je vais <b>rarement</b> au cinéma.,Я <b>редко</b> хожу в кино.,🎬,adv
chut,тсс! тихо!,"<b>Chut</b>, ne fais pas de bruit.","<b>Тсс</b>, не шуми.",🤫,interj
les cieux,небеса,Les <b>cieux</b> sont bleus.,<b>Небеса</b> голубые.,🌤️,m pl
allo,алло,"<b>Allô</b>, c'est moi.","<b>Алло</b>, это я.",📞,interj
ceux-là,те (вон те),<b>Ceux-là</b> sont meilleurs.,<b>Те</b> лучше.,👆,pron
suffisamment,достаточно,C'est <b>suffisamment</b> clair.,Это <b>достаточно</b> ясно.,✅,adv
tranquillement,спокойно,Il dort <b>tranquillement</b>.,Он <b>спокойно</b> спит.,😴,adv
récemment,недавно,J'ai <b>récemment</b> appris ça.,Я <b>недавно</b> это узнал.,🕐,adv
