French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji,Source
pleuvoir des cordes,лить как из ведра,expr,"Il <b>pleut des cordes</b> dehors, prends ton parapluie !","На улице <b>льёт как из ведра</b>, возьми зонт!",Дословно: идёт дождь из верёвок. Синоним: pleuvoir à verse.,🌧️,idiomes
donner sa langue au chat,сдаться (при угадывании),expr,"Je ne trouve pas la réponse, je <b>donne ma langue au chat</b>.","Я не нахожу ответ, <b>сдаюсь</b>.",Дословно: отдать свой язык коту.,🐱👅,idiomes
se serrer la ceinture,затянуть пояса; экономить,expr,"Avec la crise, il a dû <b>se serrer la ceinture</b>.",Из-за кризиса ему пришлось <b>затянуть пояса</b>.,Аналог русского выражения.,💵🔄,idiomes
être au bout du rouleau,быть измотанным; на пределе сил,expr,"Après ce projet de trois mois, je suis vraiment <b>au bout du rouleau</b>.",После этого трёхмесячного проекта я реально <b>на пределе сил</b>.,Дословно: быть в конце рулона.,😩🪫,idiomes
faire l'autruche,прятать голову в песок; игнорировать проблему,expr,Il ne peut pas continuer à <b>faire l'autruche</b> face à ses dettes.,Он не может продолжать <b>прятать голову в песок</b> перед своими долгами.,Дословно: делать страуса.,🪶🙈,idiomes
avoir les dents longues,быть амбициозным,expr,"Ce nouveau directeur <b>a les dents longues</b>, il vise le poste de PDG.","Этот новый директор <b>очень амбициозен</b>, он метит на пост генерального.",Дословно: иметь длинные зубы. Parfois péjoratif.,🦷📈,idiomes
tourner autour du pot,ходить вокруг да около,expr,Arrête de <b>tourner autour du pot</b> et dis-moi ce qui s'est passé !,"Хватит <b>ходить вокруг да около</b>, скажи мне, что случилось!",Дословно: крутиться вокруг горшка.,🍯🔄,idiomes
prendre le taureau par les cornes,взять быка за рога,expr,"Face à ce problème, il a <b>pris le taureau par les cornes</b>.","Столкнувшись с этой проблемой, он <b>взял быка за рога</b>.",Аналог русского выражения.,🐂💪,idiomes
avoir du pain sur la planche,иметь много работы,expr,"Avec ce nouveau projet, nous avons <b>du pain sur la planche</b>.",С этим новым проектом у нас <b>много работы</b>.,Дословно: иметь хлеб на доске.,🍞📋,idiomes
faire d'une pierre deux coups,убить двух зайцев одним выстрелом,expr,"En allant au bureau, je dépose les enfants à l'école : je <b>fais d'une pierre deux coups</b>.",По дороге на работу завожу детей в школу: <b>убиваю двух зайцев</b>.,Дословно: сделать одним камнем два удара.,🪨🎯,idiomes
tomber dans les pommes,упасть в обморок,expr,Il faisait si chaud qu'elle est <b>tombée dans les pommes</b>.,"Было так жарко, что она <b>упала в обморок</b>.",Дословно: упасть в яблоки. Familier.,🍎😵,idiomes
avoir une faim de loup,быть голодным как волк,expr,"Après cette randonnée, j'<b>ai une faim de loup</b> !",После этого похода я <b>голоден как волк</b>!,Аналог русского выражения.,🐺🍽️,idiomes
avoir le cœur sur la main,быть щедрым и добрым,expr,"Elle <b>a le cœur sur la main</b>, elle aide toujours les autres.","Она <b>очень щедрая</b>, всегда помогает другим.",Дословно: иметь сердце на руке.,❤️🤲,idiomes
jeter l'éponge,сдаться; бросить дело,expr,"Après trois tentatives, il a décidé de <b>jeter l'éponge</b>.",После трёх попыток он решил <b>сдаться</b>.,Origine: boxe. Дословно: бросить губку.,🧽🏳️,idiomes
marcher sur des œufs,действовать осторожно,expr,"Avec ce client difficile, il faut <b>marcher sur des œufs</b>.",С этим сложным клиентом нужно <b>действовать осторожно</b>.,Дословно: ходить по яйцам.,🥚🚶,idiomes
raconter des salades,врать; рассказывать небылицы,expr,"Ne le crois pas, il <b>raconte des salades</b> !","Не верь ему, он <b>врёт</b>!",Дословно: рассказывать салаты. Familier. Синоним: mentir.,🥗🤥,idiomes
avoir un poil dans la main,быть лентяем,expr,"Il ne fait jamais rien, il <b>a un poil dans la main</b>.","Он никогда ничего не делает, он <b>настоящий лентяй</b>.",Дословно: иметь волос в руке. Familier.,💇🖐️,idiomes
rouler quelqu'un dans la farine,обмануть кого-то; обвести вокруг пальца,expr,"Ce vendeur m'a <b>roulé dans la farine</b>, la voiture était en panne !","Этот продавец меня <b>обманул</b>, машина была сломана!",Дословно: обвалять в муке. Familier.,🌾😈,idiomes
mettre les pieds dans le plat,сесть в лужу; ляпнуть,expr,Il a <b>mis les pieds dans le plat</b> en parlant de son ex devant sa femme.,"Он <b>ляпнул</b>, заговорив о бывшей при жене.",Дословно: поставить ноги в блюдо.,🦶🍽️,idiomes
passer du coq à l'âne,перескакивать с темы на тему,expr,"Impossible de le suivre, il <b>passe du coq à l'âne</b> constamment !","Невозможно за ним угнаться, он постоянно <b>перескакивает с темы на тему</b>!",Дословно: переходить от петуха к ослу.,🐓🫏,idiomes
mettre de l'eau dans son vin,смягчить позицию; пойти на уступки,expr,"Après la négociation, il a dû <b>mettre de l'eau dans son vin</b>.",После переговоров ему пришлось <b>смягчить позицию</b>.,Дословно: добавить воды в вино.,💧🍷,idiomes
tenir la chandelle,быть третьим лишним,expr,"Je ne veux pas <b>tenir la chandelle</b>, sortez sans moi !","Не хочу <b>быть третьим лишним</b>, идите без меня!",Дословно: держать свечу.,🕯️👫,idiomes
se prendre un râteau,получить отказ (в любви),expr,"Il a invité Marie à sortir, mais il <b>s'est pris un râteau</b>.","Он пригласил Мари на свидание, но <b>получил отказ</b>.",Familier. Дословно: получить граблями.,🌹❌,idiomes
être à cheval sur quelque chose,быть принципиальным; строгим,expr,Mon prof <b>est à cheval sur</b> la ponctualité.,Мой препод <b>строг в отношении</b> пунктуальности.,Дословно: быть верхом на чём-то.,🐴⚖️,idiomes
tiré par les cheveux,притянуто за уши; натянуто,expr,Son excuse était vraiment <b>tirée par les cheveux</b>.,Его оправдание было <b>притянуто за уши</b>.,Аналог русского выражения.,💇🤷,idiomes
avoir l'estomac dans les talons,очень хотеть есть,expr,"Après 8 heures sans manger, j'<b>ai l'estomac dans les talons</b>.",После 8 часов без еды я <b>ужасно хочу есть</b>.,Дословно: иметь желудок в пятках.,👠🤤,idiomes
avoir un cœur d'artichaut,легко влюбляться,expr,"Elle tombe amoureuse de tout le monde, elle <b>a un cœur d'artichaut</b>.","Она влюбляется во всех подряд, у неё <b>ветреное сердце</b>.",Дословно: иметь сердце артишока (много листьев = много увлечений).,💜🥬,idiomes
tirer les vers du nez,выпытывать информацию,expr,Il a fallu que je lui <b>tire les vers du nez</b> pour savoir ce qui s'est passé.,"Мне пришлось <b>вытягивать из него</b> информацию, чтобы узнать, что случилось.",Дословно: тянуть червей из носа.,🪱👃,idiomes
mettre les points sur les i,расставить точки над i,expr,Il a tenu à <b>mettre les points sur les i</b> avant de signer le contrat.,"Он настоял на том, чтобы <b>расставить точки над i</b> перед подписанием контракта.",Аналог русского выражения.,✏️📝,idiomes
monter sur ses grands chevaux,разозлиться; вспылить,expr,"Dès qu'on le critique, il <b>monte sur ses grands chevaux</b>.","Стоит его покритиковать, он сразу <b>вспыливает</b>.",Дословно: сесть на больших лошадей.,🐎😤,idiomes
vendre la peau de l'ours avant de l'avoir tué,делить шкуру неубитого медведя,expr,"Ne <b>vends pas la peau de l'ours avant de l'avoir tué</b>, attends les résultats.","Не <b>дели шкуру неубитого медведя</b>, подожди результатов.",Аналог русского выражения.,🐻🛒,idiomes
mettre son nez partout,совать нос всюду,expr,"Elle <b>met son nez partout</b>, impossible d'avoir de secrets !","Она <b>суёт нос всюду</b>, невозможно иметь секреты!",Аналог русского выражения.,👃🔍,idiomes
jeter l'argent par les fenêtres,бросать деньги на ветер,expr,Il <b>jette l'argent par les fenêtres</b> avec ses achats inutiles.,Он <b>бросает деньги на ветер</b> своими бесполезными покупками.,Дословно: выбрасывать деньги в окна.,💸🪟,idiomes
tirer la couverture à soi,тянуть одеяло на себя,expr,"Dans ce projet, il essaie toujours de <b>tirer la couverture à soi</b>.",В этом проекте он всегда пытается <b>тянуть одеяло на себя</b>.,Аналог русского выражения.,🛏️😤,idiomes
être dans de beaux draps,быть в переделке; попасть в беду,expr,"Après avoir perdu son passeport, il <b>s'est retrouvé dans de beaux draps</b>.","Потеряв паспорт, он <b>оказался в переделке</b>.",Ирония: beaux draps = проблемы. Дословно: быть в красивых простынях.,🛏️😰,idiomes
ne pas mettre tous ses œufs dans le même panier,не класть все яйца в одну корзину,expr,Il <b>ne faut pas mettre tous ses œufs dans le même panier</b> : diversifie tes investissements.,<b>Не клади все яйца в одну корзину</b>: диверсифицируй инвестиции.,Аналог русского выражения.,🥚🧺,idiomes
prendre quelqu'un la main dans le sac,поймать с поличным,expr,Nous avons <b>pris le voleur la main dans le sac</b>.,Мы <b>поймали вора с поличным</b>.,Дословно: поймать с рукой в сумке.,🤚👜,idiomes
courir sur le haricot,раздражать; надоедать,expr,Arrête de me <b>courir sur le haricot</b> avec tes questions !,Хватит меня <b>доставать</b> своими вопросами!,Familier. Дословно: бегать по фасолине.,🫘😤,idiomes
casser les pieds à quelqu'un,надоедать; действовать на нервы,expr,Ça me <b>casse les pieds</b> de devoir refaire ce travail.,Меня <b>бесит</b> необходимость переделывать эту работу.,Familier. Дословно: ломать ноги.,🦶💢,idiomes
mettre la charrue avant les bœufs,ставить телегу впереди лошади,expr,"En annonçant le succès avant les tests, il a <b>mis la charrue avant les bœufs</b>.","Объявив об успехе до тестов, он <b>поставил телегу впереди лошади</b>.",Дословно: ставить плуг перед быками.,🐂🛒,idiomes
avoir un chat dans la gorge,иметь ком в горле; охрипнуть,expr,"Excuse-moi, j'<b>ai un chat dans la gorge</b> ce matin.","Извини, у меня <b>горло сипит</b> этим утром.",Дословно: иметь кота в горле.,🐱🗣️,idiomes
rire jaune,смеяться через силу; натянуто улыбаться,expr,"Quand on lui a annoncé la nouvelle, il a <b>ri jaune</b>.","Когда ему сообщили новость, он <b>натянуто улыбнулся</b>.",Дословно: смеяться жёлтым.,😬💛,idiomes
faire boule de neige,расти как снежный ком,expr,Le problème a <b>fait boule de neige</b> et est devenu incontrôlable.,Проблема <b>росла как снежный ком</b> и стала неконтролируемой.,Аналог русского выражения.,⛄📈,idiomes
se mettre le doigt dans l'œil,сильно ошибаться,expr,"Si tu crois qu'il va t'aider, tu <b>te mets le doigt dans l'œil</b>.","Если думаешь, что он тебе поможет, ты <b>сильно ошибаешься</b>.",Familier. Дословно: совать палец себе в глаз.,👁️👆,idiomes
avoir un coup de barre,почувствовать резкую усталость,expr,"Vers 15h, j'ai <b>eu un coup de barre</b>, j'avais besoin de café.","Около 15:00 я <b>резко устал</b>, мне нужен был кофе.",Дословно: получить удар палкой.,😴☕,idiomes
mettre du beurre dans les épinards,улучшить материальное положение,expr,Ce petit travail me permet de <b>mettre du beurre dans les épinards</b>.,Эта подработка помогает мне <b>улучшить финансовое положение</b>.,Дословно: класть масло в шпинат.,🧈💶,idiomes
laisser tomber comme une vieille chaussette,бросить как ненужную вещь,expr,"Après 10 ans d'amitié, il m'a <b>laissé tomber comme une vieille chaussette</b>.",После 10 лет дружбы он меня <b>бросил как ненужную вещь</b>.,Familier. Дословно: бросить как старый носок.,🧦👋,idiomes
arriver comme un cheveu sur la soupe,прийти некстати; не к месту,expr,Son commentaire est <b>arrivé comme un cheveu sur la soupe</b>.,Его комментарий был <b>совсем некстати</b>.,Дословно: появиться как волос в супе.,💇🍲,idiomes
coûter les yeux de la tête,стоить бешеных денег,expr,Cette voiture <b>coûte les yeux de la tête</b> !,Эта машина <b>стоит бешеных денег</b>!,Дословно: стоить глаза с головы.,💰👀,idiomes
ça marche !,договорились!; идёт!,expr,On se retrouve à 18h ? — <b>Ça marche</b> !,Встречаемся в 18:00? — <b>Договорились</b>!,Familier. Выражение согласия. Дословно: это работает.,✅👍,idiomes
couci-couça,так себе; ни то ни сё,expr,"Comment ça va ? — <b>Couci-couça</b>, rien de spécial.","Как дела? — <b>Так себе</b>, ничего особенного.",Familier. Aussi: comme ci comme ça.,😐🤷,idiomes
sans crier gare,без предупреждения,expr,"Il est parti <b>sans crier gare</b>, sans dire au revoir.","Он ушёл <b>без предупреждения</b>, не попрощавшись.",Gare = устаревшее междометие (берегись!).,⚠️💨,idiomes
c'est tiguidou,супер!; отлично!; договорились!,expr,— On se rejoint à 19h ? — <b>Tiguidou</b> !,— Встретимся в 19:00? — <b>Договорились</b>!,Québec uniquement. Origine possible: écossais tickety-boo.,👍✨,québec_expr
c'est l'fun,это клёво; это здорово,expr,La fête était vraiment <b>l'fun</b> hier soir !,Вечеринка вчера была <b>очень клёвой</b>!,Québec. De l'anglais fun. France: c'est chouette.,🎉,québec_expr
l'affaire est ketchup,всё в порядке; дело в шляпе,expr,"T'inquiète pas, <b>l'affaire est ketchup</b> !","Не волнуйся, <b>всё в порядке</b>!",Québec uniquement. Origine: slogan publicitaire.,🍅✅,québec_expr
attache ta tuque,держись!; приготовься!,expr,"<b>Attache ta tuque</b>, ça va brasser !","<b>Держись</b>, сейчас будет жарко!",Tuque = bonnet. Québec uniquement.,🧢💨,québec_expr
avoir les yeux dans la graisse de bines,быть сонным; не проснуться толком,expr,"Ce matin, j'<b>ai les yeux dans la graisse de bines</b>.",Этим утром я <b>ещё толком не проснулся</b>.,Bines = haricots. Québec uniquement.,😴👀,québec_expr
cogner des clous,клевать носом; засыпать на ходу,expr,Il était si fatigué qu'il <b>cognait des clous</b> pendant la réunion.,"Он так устал, что <b>клевал носом</b> на совещании.",Québec. Дословно: забивать гвозди.,😪🔨,québec_expr
accrocher ses patins,уйти на пенсию; бросить дело,expr,"Après 30 ans de carrière, il a décidé d'<b>accrocher ses patins</b>.",После 30 лет карьеры он решил <b>уйти на пенсию</b>.,Origine: hockey. Québec. France: raccrocher.,⛸️👋,québec_expr
avoir de la broue dans le toupet,быть по уши в делах; зашиваться,expr,"Avec ce projet, j'<b>ai de la broue dans le toupet</b> !",С этим проектом я <b>по уши в делах</b>!,Broue = mousse de bière. Québec uniquement.,🍺😰,québec_expr
lâche pas la patate,не сдавайся!; держись!,expr,"C'est difficile, mais <b>lâche pas la patate</b> !","Это сложно, но <b>не сдавайся</b>!",Québec. Forme d'encouragement.,🥔💪,québec_expr
avoir les mains pleines de pouces,быть криворуким; неуклюжим,expr,"En bricolage, j'<b>ai les mains pleines de pouces</b>.",В ремонте я <b>совсем криворукий</b>.,Québec. France: avoir deux mains gauches.,👐👎,québec_expr
parler à travers son chapeau,говорить не зная дела; нести чушь,expr,"Il <b>parle à travers son chapeau</b>, il ne connaît rien au sujet.","Он <b>несёт чушь</b>, ничего не знает по теме.",Calque de l'anglais: to talk through one's hat.,🎩💬,québec_expr
chanter la pomme,ухаживать; флиртовать,expr,Il <b>chante la pomme</b> à toutes les filles du bureau.,Он <b>ухаживает</b> за всеми девушками в офисе.,Québec. Origine: paume → pomme.,🍎💕,québec_expr
être assis sur son steak,бездельничать; сидеть сложа руки,expr,Arrête d'<b>être assis sur ton steak</b> et aide-moi !,"Хватит <b>сидеть сложа руки</b>, помоги мне!",Québec. Familier.,🥩🪑,québec_expr
sacrer son camp,свалить; уйти,expr,"J'en ai assez, je <b>sacre mon camp</b> !","С меня хватит, я <b>сваливаю</b>!","Québec. Familier. France: se barrer, se casser.",🏃💨,québec_expr
avoir un pain au four,быть беременной,expr,Tu as vu Marie ? Elle <b>a un pain au four</b> !,Ты видел Мари? Она <b>беременна</b>!,Québec. Euphémisme imagé.,🥖👶,québec_expr
tire-toi une bûche,садись; присаживайся,expr,Bienvenue ! <b>Tire-toi une bûche</b> et installe-toi.,Добро пожаловать! <b>Садись</b> и располагайся.,"Origine: colonisation, quand les chaises étaient des billots.",🪵🪑,québec_expr
mange pas tes bobettes,не паникуй; не дёргайся,expr,"<b>Mange pas tes bobettes</b>, on a encore le temps.","<b>Не паникуй</b>, у нас ещё есть время.",Bobettes = sous-vêtements. Québec. Familier.,🩲😌,québec_expr
avoir une crotte sur le cœur,таить обиду; держать зло,expr,"Depuis leur dispute, elle <b>a une crotte sur le cœur</b>.",После их ссоры она <b>затаила обиду</b>.,Québec. France: avoir une dent contre qqn.,💔😤,québec_expr
chiquer la guenille,ворчать; брюзжать,expr,Arrête de <b>chiquer la guenille</b> et fais quelque chose !,"Хватит <b>ворчать</b>, сделай что-нибудь!",Guenille = chiffon. Québec uniquement.,😤👕,québec_expr
boss des bécosses,мелкий начальник; самодур,expr,Ce <b>boss des bécosses</b> se prend pour le PDG !,Этот <b>мелкий начальник</b> возомнил себя генеральным!,Bécosses = latrines. Péjoratif. Québec.,🚽👔,québec_expr
tomber en amour,влюбиться,expr,Ils sont <b>tombés en amour</b> au premier regard.,Они <b>влюбились</b> с первого взгляда.,Québec. Calque: to fall in love. France: tomber amoureux.,💕,québec_expr
ça fesse,это круто; это сильно,expr,"Le nouveau film Marvel, <b>ça fesse</b> !",Новый фильм Marvel — <b>это круто</b>!,Québec. Familier.,💥👊,québec_expr
capoter,обалдеть; сойти с ума (от радости),expr,"Quand il a vu son cadeau, il a <b>capoté</b> !","Когда он увидел подарок, он <b>обалдел</b>!",Québec. Aussi: flipper.,🤯🎁,québec_expr
ça torche,это бомба; это огонь,expr,"Ce restaurant, <b>ça torche</b> !",Этот ресторан — <b>просто бомба</b>!,Québec. Familier. Très positif.,🔥✨,québec_expr
se payer la traite,порадовать себя; кутнуть,expr,"Ce soir, on <b>se paye la traite</b> au resto !",Сегодня вечером <b>побалуем себя</b> в ресторане!,Québec. France: se faire plaisir.,🍾🎊,québec_expr
tripper,кайфовать; балдеть,expr,Je <b>trippe</b> sur ce groupe de musique !,Я <b>балдею</b> от этой музыкальной группы!,Québec. De l'anglais trip.,🎵😍,québec_expr
avoir vu neiger,быть опытным; повидать жизнь,expr,"À 70 ans, il <b>en a vu neiger</b> !",В 70 лет он <b>много чего повидал</b>!,Québec uniquement. Imagé: зим пережил.,❄️👴,québec_expr
j'ai mon voyage,с меня хватит; я в шоке,expr,Tu as encore oublié ? <b>J'ai mon voyage</b> !,Ты опять забыл? <b>С меня хватит</b>!,Québec. Выражение удивления/раздражения.,😤🧳,québec_expr
c'est correct,всё нормально; ладно,expr,"— Désolé pour le retard. — <b>C'est correct</b>, pas de problème.","— Извини за опоздание. — <b>Всё нормально</b>, без проблем.","Québec. France: c'est bon, pas grave.",👌,québec_expr
mets-en,ещё бы!; конечно!,expr,— C'était bon le souper ? — <b>Mets-en</b> !,— Ужин был вкусный? — <b>Ещё бы</b>!,Québec. Подтверждение с энтузиазмом.,✅💯,québec_expr
pantoute,совсем нет; вовсе нет,expr,Tu es fatigué ? — <b>Pantoute</b> !,Ты устал? — <b>Вовсе нет</b>!,Québec. De: pas en tout. France: pas du tout.,🙅,québec_expr
en tout cas,в любом случае; короче,expr,"<b>En tout cas</b>, on se voit demain.","<b>В любом случае</b>, увидимся завтра.",Commun au Québec. Aussi: filler de conversation.,💬,québec_expr
faque,так что; поэтому,expr,"Il pleut, <b>faque</b> on reste à la maison.","Идёт дождь, <b>так что</b> остаёмся дома.",Québec. Contraction de: ça fait que.,➡️,québec_expr
t'sé,знаешь; понимаешь,expr,"C'est compliqué, <b>t'sé</b>...","Это сложно, <b>знаешь</b>...",Québec. Contraction de: tu sais. Filler oral.,💭,québec_expr
tu veux-tu,ты хочешь?; хочешь?,expr,<b>Tu veux-tu</b> un café ?,<b>Хочешь</b> кофе?,Québec. Redoublement interrogatif typique.,❓,québec_expr
tu m'niaises,ты шутишь?; серьёзно?,expr,<b>Tu m'niaises</b> ? C'est vraiment toi qui as gagné ?,<b>Ты шутишь</b>? Это правда ты выиграл?,"Niaiser = plaisanter, embêter. Québec.",😲,québec_expr
être chaud,быть пьяным,expr,"Après trois bières, il était déjà <b>chaud</b>.",После трёх пива он уже был <b>пьян</b>.,"Québec. France: être bourré, ivre.",🍺🥴,québec_expr
être fin,быть милым; добрым,expr,"Ton voisin est vraiment <b>fin</b>, il m'a aidé avec mes valises.","Твой сосед очень <b>милый</b>, помог мне с чемоданами.","Québec. France: gentil, aimable.",😊💕,québec_expr
être smatt,быть классным; симпатичным,expr,C'est <b>smatt</b> de ta part de m'aider.,<b>Классно</b> с твоей стороны помочь мне.,De l'anglais smart. Québec.,😎👍,québec_expr
magané,потрёпанный; изношенный,expr,"Après ce voyage, je suis vraiment <b>magané</b>.",После этой поездки я совсем <b>измотан</b>.,Québec. Aussi: abîmé (pour objets).,😩,québec_expr
chauffer,водить (машину),v,C'est mon père qui <b>chauffe</b> ce soir.,Сегодня вечером за рулём <b>мой папа</b>.,Québec. France: conduire.,🚘,québec_vocab
le gaz,бензин,m,Il faut mettre du <b>gaz</b> dans le char.,Надо <b>заправить</b> машину.,Québec. France: l'essence.,⛽,québec_vocab
gazer; tinker,заправляться,v,Je dois <b>gazer</b> avant de partir.,Мне нужно <b>заправиться</b> перед отъездом.,Québec. France: faire le plein.,⛽,québec_vocab
une license,водительские права,f,J'ai eu ma <b>license</b> à 16 ans.,Я получил <b>права</b> в 16 лет.,Québec. Англицизм (фр. licence). France: le permis de conduire.,🪪,québec_vocab
parquer,парковать,v,Tu peux <b>parquer</b> ton char ici.,Можешь <b>припарковать</b> машину здесь.,Québec. France: garer.,🅿️,québec_vocab
une valise,багажник (авто),f,Mets les sacs dans la <b>valise</b>.,Положи сумки в <b>багажник</b>.,Québec. France: le coffre. ⚠️ Faux ami!,🧳,québec_vocab
un bicycle,велосипед,m,Je vais au travail en <b>bicycle</b>.,Я езжу на работу на <b>велосипеде</b>.,Québec. France: un vélo.,🚲,québec_vocab
le déjeuner,завтрак,m,Je prends mon <b>déjeuner</b> à 7h.,Я <b>завтракаю</b> в 7 утра.,Québec. France: petit-déjeuner.,🍳,québec_vocab
le dîner,обед,m,On se voit pour le <b>dîner</b> à midi ?,Увидимся на <b>обед</b> в полдень?,Québec. France: déjeuner.,🥗,québec_vocab
le souper,ужин,m,Le <b>souper</b> est prêt !,<b>Ужин</b> готов!,Québec. France: le dîner.,🍽️,québec_vocab
un breuvage,напиток,m,Tu veux un <b>breuvage</b> ?,Хочешь <b>напиток</b>?,Québec. France: une boisson.,🥤,québec_vocab
la broue,пиво,f,On va prendre une <b>broue</b> après le travail ?,Пойдём выпьем <b>пива</b> после работы?,Québec. Familier. France: une bière.,🍺,québec_vocab
le blé d'Inde,кукуруза,m,J'adore le <b>blé d'Inde</b> grillé l'été.,Обожаю жареную <b>кукурузу</b> летом.,Québec. France: le maïs.,🌽,québec_vocab
un bleuet,черника,m,On va cueillir des <b>bleuets</b> au Lac-Saint-Jean.,Едем собирать <b>чернику</b> на Лак-Сен-Жан.,Québec. France: une myrtille.,🫐,québec_vocab
la crème glacée,мороженое,f,Je veux de la <b>crème glacée</b> au chocolat.,Хочу шоколадное <b>мороженое</b>.,Québec. France: une glace.,🍦,québec_vocab
les bines,фасоль; бобы,f_pl,"Les <b>bines</b> au lard, c'est typiquement québécois.",<b>Фасоль</b> с беконом — типично квебекское блюдо.,Québec. De l'anglais beans.,🫘,québec_vocab
une échalote,зелёный лук,f,Ajoute des <b>échalotes</b> dans la salade.,Добавь <b>зелёного лука</b> в салат.,Québec. France: un oignon vert. ⚠️ Faux ami!,🧅,québec_vocab
un chum,парень; бойфренд,m,"Je te présente mon <b>chum</b>, Marc.","Познакомься, это мой <b>парень</b> Марк.","Québec. France: copain, petit ami.",👦💕,québec_vocab
une blonde,девушка; подруга,f,Ma <b>blonde</b> vient du Saguenay.,Моя <b>девушка</b> из Сагенея.,Québec. France: copine. ⚠️ Pas la couleur des cheveux!,👩💕,québec_vocab
un chum de gars,друг (мужчина),m,"C'est mon <b>chum de gars</b>, on se connaît depuis 20 ans.","Это мой <b>друг</b>, мы знакомы 20 лет.",Québec. Pour différencier de chum (amoureux).,👬,québec_vocab
donner un bec,поцеловать (в щёку),expr,Donne-moi un <b>bec</b> avant de partir !,<b>Поцелуй</b> меня перед уходом!,Québec. France: faire la bise.,💋,québec_vocab
une tuque,шапка; вязаная шапка,f,"Mets ta <b>tuque</b>, il fait frette !","Надень <b>шапку</b>, холодно!",Québec. France: un bonnet.,🧢,québec_vocab
des mitaines,варежки; перчатки,f_pl,N'oublie pas tes <b>mitaines</b> !,Не забудь <b>варежки</b>!,"Québec. France: des moufles, des gants.",🧤,québec_vocab
