French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji
étant donné que,учитывая что; поскольку,conj,"<b>Étant donné que</b> les prix augmentent, il faut économiser.","<b>Учитывая, что</b> цены растут, нужно экономить.","Connecteur de cause. Formel. TEF B2.",📊
vu que,учитывая что; поскольку,conj,"<b>Vu que</b> tu es malade, reste chez toi.","<b>Раз уж</b> ты болен, оставайся дома.","Connecteur de cause. Moins formel que étant donné que.",📊
en raison de,по причине; из-за,prep,"Le vol est annulé <b>en raison de</b> la météo.","Рейс отменён <b>из-за</b> погоды.","Connecteur de cause. Formel. + NOM.",📊
à cause de,из-за,prep,"Je suis en retard <b>à cause de</b> la circulation.","Я опоздал <b>из-за</b> пробок.","Connecteur de cause. ⚠️ Connotation négative!",😤
grâce à,благодаря,prep,"J'ai réussi <b>grâce à</b> ton aide.","Я преуспел <b>благодаря</b> твоей помощи.","Connecteur de cause. ⚠️ Connotation positive!",😊
donc,следовательно; поэтому,adv,"Il pleut, <b>donc</b> je prends mon parapluie.","Идёт дождь, <b>поэтому</b> я беру зонт.","Connecteur de conséquence. Le plus courant.",➡️
alors,тогда; поэтому,adv,"Tu as fini ? <b>Alors</b>, on peut partir.","Ты закончил? <b>Тогда</b> можем идти.","Connecteur de conséquence. Oral/écrit.",➡️
par conséquent,следовательно; в результате,adv,"Il n'a pas étudié ; <b>par conséquent</b>, il a échoué.","Он не учился; <b>следовательно</b>, он провалился.","Connecteur de conséquence. Formel. TEF B2.",📌
en conséquence,в результате; следовательно,adv,"Le budget est réduit ; <b>en conséquence</b>, nous devons économiser.","Бюджет сокращён; <b>в результате</b>, мы должны экономить.","Connecteur de conséquence. Formel.",📌
c'est pourquoi,вот почему; поэтому,adv,"Je suis fatigué, <b>c'est pourquoi</b> je vais dormir.","Я устал, <b>вот почему</b> я иду спать.","Connecteur de conséquence. Très utilisé TEF.",📌
ainsi,таким образом; так,adv,"<b>Ainsi</b>, nous pouvons conclure que...","<b>Таким образом</b>, мы можем заключить, что...","Connecteur de conséquence/conclusion. Formel.",📌
de sorte que,так что; таким образом что,conj,"Il a travaillé dur, <b>de sorte qu'</b>il a réussi.","Он много работал, <b>так что</b> преуспел.","Connecteur de conséquence. + indicatif (fait réel).",➡️
si bien que,так что; в результате чего,conj,"Il a plu toute la journée, <b>si bien que</b> le match a été annulé.","Дождь шёл весь день, <b>так что</b> матч отменили.","Connecteur de conséquence. + indicatif.",➡️
pour,для; чтобы,prep,"Je travaille <b>pour</b> gagner ma vie.","Я работаю, <b>чтобы</b> зарабатывать на жизнь.","Connecteur de but. + infinitif.",🎯
pour que,чтобы; для того чтобы,conj,"Je t'explique <b>pour que</b> tu comprennes.","Я объясняю, <b>чтобы</b> ты понял.","Connecteur de but. ⚠️ + SUBJONCTIF!",🎯
afin de,чтобы; с целью,prep,"Il étudie <b>afin de</b> réussir l'examen.","Он учится, <b>чтобы</b> сдать экзамен.","Connecteur de but. Formel. + infinitif.",🎯
afin que,чтобы; для того чтобы,conj,"Je te préviens <b>afin que</b> tu sois prêt.","Я предупреждаю тебя, <b>чтобы</b> ты был готов.","Connecteur de but. Formel. + subjonctif.",🎯
de manière à,так чтобы,prep,"Parle fort <b>de manière à</b> être entendu.","Говори громко, <b>чтобы</b> тебя услышали.","Connecteur de but. + infinitif.",🎯
si,если,conj,"<b>Si</b> tu viens, appelle-moi.","<b>Если</b> придёшь, позвони мне.","Connecteur de condition. ⚠️ Si + présent → futur.",❓
à condition que,при условии что,conj,"Je viendrai <b>à condition que</b> tu m'invites.","Я приду <b>при условии, что</b> ты меня пригласишь.","Connecteur de condition. + subjonctif.",❓
à moins que,если только не; разве что,conj,"Je partirai <b>à moins que</b> tu ne me retiennes.","Я уйду, <b>если только</b> ты меня не удержишь.","Connecteur de condition. + subjonctif + ne explétif.",❓
pourvu que,лишь бы; при условии что,conj,"<b>Pourvu que</b> tu sois heureux !","<b>Лишь бы</b> ты был счастлив!","Connecteur de condition/souhait. + subjonctif.",🤞
en cas de,в случае,prep,"<b>En cas de</b> problème, appelez-moi.","<b>В случае</b> проблемы звоните мне.","Connecteur de condition. + NOM.",❓
sinon,иначе; а то,adv,"Dépêche-toi, <b>sinon</b> tu seras en retard.","Торопись, <b>иначе</b> опоздаешь.","Connecteur de condition négative.",⚠️
par exemple,например,adv,"Certains fruits, <b>par exemple</b> les pommes, sont riches en fibres.","Некоторые фрукты, <b>например</b> яблоки, богаты клетчаткой.","Connecteur d'illustration. Très courant TEF.",📝
notamment,в частности; особенно,adv,"Il aime les sports, <b>notamment</b> le tennis.","Он любит спорт, <b>в частности</b> теннис.","Connecteur d'illustration. Formel.",📝
en particulier,в частности; особенно,adv,"J'aime la musique, <b>en particulier</b> le jazz.","Я люблю музыку, <b>особенно</b> джаз.","Connecteur d'illustration.",📝
c'est-à-dire,то есть,adv,"Il arrive demain, <b>c'est-à-dire</b> le 15 janvier.","Он приезжает завтра, <b>то есть</b> 15 января.","Connecteur d'explication. Abréviation: c.-à-d.",📖
autrement dit,другими словами; иначе говоря,adv,"C'est gratuit, <b>autrement dit</b>, ça ne coûte rien.","Это бесплатно, <b>другими словами</b>, это ничего не стоит.","Connecteur d'explication.",📖
en d'autres termes,другими словами,adv,"<b>En d'autres termes</b>, vous refusez ma proposition.","<b>Другими словами</b>, вы отклоняете моё предложение.","Connecteur d'explication. Formel.",📖
en effet,действительно; в самом деле,adv,"Il est malade ; <b>en effet</b>, il a de la fièvre.","Он болен; <b>действительно</b>, у него температура.","Connecteur de confirmation/explication. TEF B2.",✅
d'ailleurs,впрочем; кстати,adv,"Je n'ai pas faim, <b>d'ailleurs</b> je viens de manger.","Я не голоден, <b>впрочем</b>, я только что поел.","Connecteur d'addition/digression. Très courant.",💬
quant à,что касается,prep,"<b>Quant à</b> moi, je préfère rester.","<b>Что касается</b> меня, я предпочитаю остаться.","Connecteur de transition. Introduit un nouveau sujet.",🔄
en ce qui concerne,что касается,prep,"<b>En ce qui concerne</b> ce projet, j'ai des doutes.","<b>Что касается</b> этого проекта, у меня сомнения.","Connecteur de transition. Formel. TEF B2.",🔄
bref,короче говоря; словом,adv,"<b>Bref</b>, tout s'est bien passé.","<b>Короче</b>, всё прошло хорошо.","Connecteur de conclusion/résumé. Oral et écrit.",📋
en résumé,подводя итог; резюмируя,adv,"<b>En résumé</b>, trois points sont essentiels.","<b>Подводя итог</b>, три момента важны.","Connecteur de conclusion. Formel.",📋
en somme,в общем; итого,adv,"<b>En somme</b>, c'était une bonne expérience.","<b>В общем</b>, это был хороший опыт.","Connecteur de conclusion.",📋
pour conclure,в заключение,adv,"<b>Pour conclure</b>, je dirai que cette solution est la meilleure.","<b>В заключение</b> скажу, что это решение лучшее.","Connecteur de conclusion. TEF Expression Écrite.",🏁
en conclusion,в заключение,adv,"<b>En conclusion</b>, ce projet mérite d'être soutenu.","<b>В заключение</b>, этот проект заслуживает поддержки.","Connecteur de conclusion. Formel.",🏁
finalement,в конечном счёте; наконец,adv,"<b>Finalement</b>, il a accepté notre offre.","<b>В конечном счёте</b> он принял наше предложение.","Connecteur de conclusion temporelle.",🏁
en fin de compte,в конечном счёте,adv,"<b>En fin de compte</b>, tout s'est arrangé.","<b>В конечном счёте</b> всё уладилось.","Connecteur de conclusion.",🏁
